id,question,Step 1 Words,Step 2 Words,Step 3 Words,Step 4 Words,Step 5 Words
chal-245,Ed had 19 more marbles than Doug. Ed lost some of his marbles at the playground. Now Ed has 8 more marbles than doug. How many marbles did Ed lose?,29,27,18,,
chal-246,They decided to hold the party in their backyard. They have 12 sets of tables and each set has 14 chairs. There are also 6 chairs extra. How many chairs do they have for the guests?,18,25,28,,
chal-247,The Ferris wheel in paradise park has 3 small seats and 7 large seats. Each small seat can hold 16 people and large seat can hold 12 people. How many people can ride the Ferris wheel on large seats?,33,20,23,,
chal-248,There are 20 houses in a block. If a mailman has to give 32 pieces of junk mail to each house in each block. How many pieces of junk mail should he give each block?,19,38,35,,
chal-249,"A grocery store had 72 bottles of regular soda, 32 bottles of diet soda and 78 apples. How many more bottles than apple did they have?",11,7,18,,
chal-250,There are 7 baskets of peaches. Each basket has 10 red peaches and 2 green peaches. How many green peaches are in the baskets altogether?,15,17,28,,
chal-251,Winter is almost here and most animals are migrating to warmer countries. There are 3 bird families living near the mountain. 26 new bird families came to live near the mountain from the arctic while 2 bird families flew away further south for winter. How many bird families were left near the mountain?,21,19,42,,
chal-252,Because of the decision Sofia asked the students to suggest specific types of food. If 144 students suggested adding mashed potatoes 467 suggested adding bacon to the menu and 79 suggested adding tomatoes. How many more students suggested mashed potatoes than those that suggested tomatoes?,12,11,11,33,5
chal-253,Jesse's rooms are 19 feet long and 18 feet wide. If she has 20 rooms in all. How much carpet does she need to cover the floors of all rooms?,18,23,28,,
chal-254,Rachel had to complete 10 pages of math homework. If she had to complete 3 more pages of reading homework than math homework. How many pages did she have to complete in all?,17,25,23,,
chal-255,In a school there are 700 girls and the rest are boys. If there are 142 more boys than girls. How many pupils are there in that school?,31,22,26,,
chal-256,A waiter had 14 customers. 5 customers left. How many customers does he still have?,12,9,25,,
chal-257,Lucy went to the grocery store. She bought 2 packs of cookie and 12 packs of cake. In the end she had 56 amount of change remaining. How many packs of groceries did she buy in all?,20,12,17,17,
chal-258,Mary is baking a cake. The recipe calls for 11 cups of sugar and 9 cups of flour. She already put in 12 cups of flour and 10 cups of sugar. How many more cups of sugar does she need to add?,17,20,,,
chal-259,Marco and his dad went strawberry picking. His strawberries weighed 8 pounds while his dad's strawberries weighed 32 pounds. Together how much did their strawberries weigh?,17,21,15,,
chal-260,Kelly gives away 91 nintendo games. How many did she have initially if she still has 92 games left?,29,,,,
chal-261,The Razorback t-shirt shop makes $ 106 dollars off each t-shirt sold. During the Arkansas game and the Texas tech game they sold a total of 242 t-shirts. If they sold 115 t-shirts during the Arkansas game. How many t-shirts did they sell during the Texas tech game?,13,26,29,,
chal-262,The Razorback t-shirt shop makes $ 23 dollars off each t-shirt sold. During the Arkansas and Texas tech game they made $ 230 by selling t-shirts. How many t-shirts did they sell?,8,11,17,20,
chal-263,Randy has 90 blocks. He uses 89 blocks to build a house and 63 blocks to build a tower. How many more blocks did he use to build the house than he did to build the tower?,15,15,33,22,
chal-264,Allan brought 2 balloons and Jake brought 3 balloons to the park. How many more balloons did Jake have than Allan in the park?,11,11,18,,
chal-265,"Every day Ryan spends 7 hours on learning english, 2 hours on learning chinese and 4 hours on learning spanish. How many more hours does he spend on learning english than he does on learning spanish?",15,15,36,19,
chal-266,Robin has 43 packages of gum. There are 23 pieces in each package. Robin has 8 extra pieces of gum. How many pieces of gum does Robin have?,26,24,,,
chal-267,Paul had 108 books. After selling some books in a garage sale and giving 35 books to his friend he had 62 books left. How many books did he sell in the garage sale?,13,14,8,,
chal-268,For the walls of the house he would use 12 large planks of wood and 17 small planks. If each large plank of wood needs 14 pieces of nails to be secured and each small plank needs 25 nails. How many planks does John need for the house wall?,18,35,19,,
chal-269,Melissa played 3 games and scored a total of 81 points scoring the same for each game. How many points did she score in each game?,14,10,17,36,
chal-270,Nell collects cards. She had 246 baseball cards and 214 Ace cards. She gave some of her cards to Jeff and now has 404 baseball cards and 495 Ace cards left. How many more Ace cards than baseball cards does Nell have?,15,11,19,,
chal-271,Jerry had 8 action figures on a shelf in his room. Later he added 4 more action figures to the shelf and removed 5 old ones. How many action figures were on his shelf in all?,15,13,13,33,
chal-272,Paige was helping her mom plant flowers and together they planted 45 seeds in 9 flowerbeds. If they put same number of seeds in each flower bed. How many seeds did they plant in each flowerbed?,10,18,16,,
chal-273,A mailman has to give 4 pieces of junk mail to each house in each of the 81 blocks. If there are 12 houses in each block. How many pieces of junk mail should he give in each block?,20,21,48,,
chal-274,The ring toss game at the carnival made 325 dollars in the first 154 days and 114 dollars in the remaining 57 days. How much did they make per day in the remaining 57 days at the carnival?,11,11,17,,
chal-275,Brenda's mother made cookies for 10 guests but 9 guests did not come. If she prepared 18 cookies and each guest had the same number of cookies. How many did each of them have?,24,14,,,
chal-276,Mary is baking a cake. The recipe calls for 9 cups of sugar 7 cups of flour and 4 cups of salt. She already put in 2 cups of flour. How many more cups of flour than cups of salt does she need to add now?,32,15,17,12,
chal-277,Baker made some cakes. He sold 145 of them. If he still has 72 cakes left. How many cakes did baker make?,14,14,30,,
chal-278,Jesse needs a carpet of size 10 square feet to cover her room. If her room is 2 feet wide. What is the length of her room?,18,16,,,
chal-279,There are some bananas in Philip's banana collection. If the bananas are organized into 140 groups of size 187. How many bananas does he have in his collection?,21,32,,,
chal-280,Rebecca wants to split a collection of eggs into groups of 6. Rebecca has 18 eggs 72 bananas and 66 marbles. How many groups will be created?,21,17,26,,
chal-281,Jessie currently weighs 9 kilograms. After she started to go jogging everyday she lost 62 kilograms in the first week and 140 kilograms in the second week. How much did she weigh before starting to jog?,25,19,19,,
chal-282,The school is planning a field trip. The school has 72 classrooms. There are 3 seats on each school bus. If there are a total of 111 students in the school. How many buses are needed to take the trip?,30,16,,,
chal-283,13 campers went rowing and 59 campers went hiking in the morning. 21 campers went rowing in the afternoon. How many campers went rowing in all?,24,27,27,,
chal-284,Jerry had 9 action figures on a shelf in his room. Later he added 7 more action figures to the shelf. If he also has 10 books on the shelf. How many more action figures than books were on his shelf?,25,15,29,,
chal-285,Josh had 22 marbles in his collection. He found 13 marbles ones while he lost 5 marbles. How many marbles does he have now?,30,20,6,,
chal-286,For the walls of the house he would use 12 large planks of wood and 10 small planks. If large planks together need 15 pieces of nails to be secured and small planks together need 5 nails. How many nails does John need for the house wall?,27,25,24,,
chal-287,Paul got a box of 589 crayons for his birthday. During the school year he gave 571 crayons to his friends while he lost 161 crayons. How many more crayons did he give to his friends than those he lost?,19,11,16,,
chal-288,"Jack received 9 emails in the morning, 10 emails in the afternoon and 7 emails in the evening. How many more emails did Jack receive in the morning than in the evening?",30,24,16,,
chal-289,Jack received 6 emails in the morning and 8 emails in the afternoon. How many more emails did Jack receive in the afternoon than in the morning?,16,16,37,,
chal-290,"After eating a hearty meal they went to see the Buckingham palace. There were 71 paintings in the Buckingham palace. There, Rachel learned that 557 visitors came to the Buckingham palace that day. If there were 188 visitors the previous day. How many visited the Buckingham palace within 57 days?",20,14,21,,
chal-291,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 197 chocolate chip cookies and 46 raisin cookies yesterday. And she baked 75 raisin cookies and 66 chocolate chip cookies this morning. How many more chocolate chip cookies did Helen bake yesterday compared to today?,18,18,36,,
chal-292,Jake has 18 fewer peaches than Steven who has 13 more peaches than Jill. Steven has 19 peaches. How many peaches does Jill have?,33,16,16,,
chal-293,Lucy went to the grocery store. She bought 23 packs of cookie and some packs of cake. In total she had 27 packs of grocery. How many packs of cake did she buy in all?,12,39,27,,
chal-294,Every day Ryan spends 6 hours on learning english 3 hours on learning chinese and 58 hours on learning spanish. How many more hours does he spend on learning english than he does on learning chinese?,19,13,17,25,
chal-295,A book has 2 chapters. The first chapter is 48 pages long. The second chapter is 11 pages long. How many more pages does the first chapter have than the second chapter?,20,15,23,,
chal-296,"6 green peaches, 60 yellow peaches and 2 red peaches are in the basket. How many more green peaches than red peaches are in the basket?",12,12,29,,
chal-297,Debby drinks 6 bottles a day. If she bought a total of 12 water bottles. How many days would they last her?,29,13,30,,
chal-298,There were 22 parents in the program and 676 people in total. How many pupils were present in the program?,12,11,24,,
chal-299,"Julia played tag with 17 kids on monday, 15 kids on tuesday and 2 kids on wednesday. How many kids did she play with altogether?",26,25,,,
chal-300,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 25 inches. The frog jumped 18 inches farther than the grasshopper and the mouse jumped 2 inches farther than the frog. How far did the mouse jump?",11,23,23,,
chal-301,Next on his checklist is wax to stick the feathers together and colors to paint them. He needs a total of 49 g of colors to paint them. If the feathers require 288 g of wax and right now he just needs 260 g. How many grams of wax does he already have?,15,48,23,,
chal-302,Mary is baking a cake. The recipe calls for 14 cups of flour and 6 cups of sugar. She already put in 5 cups of flour. How many more cups of flour than cups of sugar does she need to add now?,27,22,24,,
chal-303,Jake has 13 more apples and 17 fewer peaches than Steven. Steven has 8 peaches and 12 apples. How many apples does Jake have?,16,39,12,,
chal-304,Jake has 12 fewer peaches than Steven who has 11 more peaches than Jill. Steven has 4 peaches. How many more peaches does Jill have than Jake?,10,38,,,
chal-305,Last week Fred had 86 dollars and Jason had 5 dollars. Fred washed cars over the weekend and now has 9 dollars and Jason did not work. How much money do they have together now?,12,18,20,,
chal-306,Jake has 12 fewer peaches and 79 more apples than Steven. Steven has 19 peaches and 14 apples. How many peaches does Jake have?,12,22,12,22,
chal-307,There are 10 different books and 6 different movies in the ' crazy silly school ' series. If you read 14 of the movies and watched 19 of the books. How many more books than movies have you read?,20,19,26,,
chal-308,Debby bought 301 water bottles when they were on sale. If she drank 144 bottles a day for some days. If she has 157 bottles left. How many days did she drink for?,17,18,43,,
chal-309,He also had 56 aquariums for saltwater animals and 10 aquariums for freshwater animals. Each aquarium has 39 animals in it. How many saltwater animals does Tyler have?,32,22,,,
chal-310,Tiffany was collecting cans for recycling. On monday she had 10 bags of cans. She found 3 bags of cans on the next day and 7 bags of cans the day after that. How many bags did she have altogether?,15,15,16,,
chal-311,The grasshopper and the frog had a jumping contest. The grasshopper jumped 31 inches and the frog jumped 35 inches. How much did they jump altogether?,10,10,27,,
chal-312,There were 100 dollars in Olivia's wallet. She collected 148 more dollars from an atm. After she visited a supermarket there were 159 dollars left. How much did she spend?,17,28,29,,
chal-313,A waiter had 11 customers. After some left he still had 3 customers. How many more customers left than those that stayed behind?,13,18,19,,
chal-314,Katie had 81 ds games and her friends had 59 games. How many more games does Katie have than her friends?,38,11,,,
chal-315,Frank put some pieces of candy equally into 2 bags. If he had 16 pieces of candy. How many pieces of candy are in each bag?,14,29,23,,
chal-316,"Being his favorite, he saved checking on the grapevines for his last stop. He was told by 266 of the pickers that they fill 90 drums of grapes in 5 days. How many drums of grapes would be filled in each day?",11,15,16,,
chal-317,Julia played tag with 5 kids on tuesday. She had played tag with 6 kids on monday. How many more kids did she play with on monday than on tuesday?,19,15,37,,
chal-318,Julia played tag with a total of 18 kids. She played with 4 kids on monday and yet with some more kids on tuesday. How many kids did she play with on tuesday?,25,,,,
chal-319,Jerry had 3 books and 4 action figures on a shelf in his room. Later he added 2 more action figures to the shelf. How many more action figures than books were on his shelf?,13,12,24,19,
chal-320,There are 6 houses on a block. If a mailman has to give 24 pieces of junk mail to each block. How many pieces of junk mail should he give in each house?,16,19,37,,
chal-321,Dave had 19 apps and 18 files on his phone. After deleting some apps and files he had 6 apps and 15 files left. How many more files than apps does he have left on the phone?,18,18,26,,
chal-322,Baker made 99 cakes. He bought 167 new cakes and sold 89 cakes. How many more cakes did baker buy than those he sold?,10,24,29,,
chal-323,3 birds and 4 storks were sitting on the fence. 6 more storks came to join them. How many birds and storks are sitting on the fence?,7,7,16,,
chal-324,David did 44 push-ups in gym class today. David did 9 more push-ups than Zachary. How many push-ups did Zachary do?,29,7,,,
chal-325,Edward spent $ 6 to buy books and $ 16 to buy pens. Now he has $ 19. How much did Edward have before he spent his money?,24,23,28,,
chal-326,Bryan took a look at his books as well. Each bookshelf contains 2 books. If he has a total of 38 books. How many bookshelves does he have?,13,13,25,,
chal-327,There were 7 roses in the vase. Jessica cut some more roses from her flower garden which had a total of 59 roses. There are now 20 roses in the vase. How many roses did she cut?,19,17,30,,
chal-328,Luke played a trivia game and gained 3 points in each round of a game. If he scored 78 points in the trivia game. How many rounds did he play?,19,28,10,,
chal-329,Baker made 13 cakes. He sold 91 of them and bought 154 new cakes. How many more cakes did baker buy than those he sold?,13,14,33,,
chal-330,He then went to see the oranges being harvested. He found out that they harvest 71 sacks of unripe oranges and 60 sacks of ripe oranges per day. How many more sacks of unripe oranges than ripe oranges are harvested per day?,15,13,29,,
chal-331,"At the zoo, a cage had snakes and alligators. The total number of animals in the cage was 79. If 24 snakes and 51 alligators were hiding. How many animals were not hiding in all?",22,34,18,,
chal-332,Danny has 21 bottle caps in his collection. He found some more bottle caps at the park. If he has 53 bottle caps now. How many bottle caps did he find at the park?,14,23,31,,
chal-333,Frank was reading through his favorite book. The book had 2 chapters each with 405 pages. It took frank 664 days to finish the book. How many chapters did he read per day?,19,29,28,,
chal-334,There were 2 roses in the vase. Jessica threw away 4 roses from the vase and cut some more new roses from her flower garden to put in the vase. There are now 23 roses in the vase. How many roses did she cut?,35,28,25,,
chal-335,"Rachel had to complete 5 pages of math homework, 10 pages of reading homework and 6 more pages of biology homework. How many pages of reading and biology homework did she have to complete?",11,24,24,,
chal-336,Jerry had 7 action figures and 2 books on a shelf in his room. Later he added 4 more books to the shelf. How many more action figures than books were on his shelf?,40,41,,,
chal-337,In a school there are 34 girls and 841 boys. How many more boys than girls does the school have?,12,12,31,,
chal-338,Bobby ate some pieces of candy. Then he ate 25 more. If he ate a total of 43 pieces of candy. How many pieces of candy had he eaten at the start?,20,48,,,
chal-339,He then went to see the oranges being harvested. He found out that they harvest 8 sacks per day. How many days will it take to harvest 24 sacks of oranges?,16,31,25,,
chal-340,53 campers went rowing in the morning 48 campers went rowing in the afternoon and 49 campers went rowing in the evening. How many more campers went rowing in the morning than in the evening?,44,,,,
chal-341,"Jack received 3 emails in the afternoon, 5 emails in the morning and 16 emails in the evening. How many more emails did Jack receive in the morning than in the afternoon?",30,30,28,,
chal-342,Dan has $ 3. For a total of $ 4 he bought 2 candy bar each one costing the same amount of money. How much did each candy bar cost?,14,11,41,,
chal-343,Rachel had to complete 3 pages of math homework and 4 pages of reading homework. How many more pages of reading homework than math homework did she have?,17,17,31,,
chal-344,A book has 2 chapters. The first chapter is 37 pages long. The second chapter is 80 pages long. How many more pages does the second chapter have than the first chapter?,14,14,15,,
chal-345,There are 8 different movies and 21 different books in the ' crazy silly school ' series. If you read 7 of the books and watched 4 of the movies. How many more movies do you still have to watch?,33,33,23,,
chal-346,Haley grew some trees in her backyard. After a typhoon 5 died. If 12 trees were left. How many trees did she grow?,11,22,27,20,
chal-347,The Razorback shop makes $ 192 dollars off each t-shirt and $ 34 off each jersey. During the Arkansas and Texas tech game they sold 157 t-shirts and 19 jerseys. How much more does a t-shirt cost than a jersey?,13,13,28,,
chal-348,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 527 chocolate chip cookies and 86 raisin cookies yesterday. And she baked 86 raisin cookies and 554 chocolate chip cookies this morning. How many chocolate chip cookies did Helen bake?,16,18,39,,
chal-349,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,24,24,27,,
chal-350,"3 red peaches, and some more green peaches are in the basket. If there are 10 more green peaches than red peaches in the basket. How many green peaches are in the basket?",30,12,10,,
chal-351,"After a typhoon, 13 trees in Haley's backyard died. If she had grown 3 trees initially. How many more trees died in the typhoon than those that survived?",20,19,24,,
chal-352,Josh had 9 marbles in his collection. He lost some marbles. If he has 4 marbles now. How many marbles did he lose?,19,13,26,,
chal-353,They decided to hold the party in their backyard. They have 14 chairs for each set of table. If they have 9 sets of tables. How many more chairs than tables do they have?,19,22,37,,
chal-354,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day. How many oranges do they harvest per day if each sack contains 28 oranges?,14,22,,,
chal-355,At the arcade Dave had won some tickets. He used 12 tickets to buy some toys. If he still has 14 tickets left. How many tickets did Dave win at the arcade?,27,21,,,
chal-356,Adam could fit 10 action figures on each shelf in his room. His room has could hold 8 action figures. How many total shelves did his room have?,15,15,18,12,
chal-357,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 24 pounds. On the way back Marco lost 9 pounds of strawberries. Marco's strawberries now weighed 3 pounds. How much did his dad's strawberries weigh?,18,11,23,18,
chal-358,Mary is baking a cake. The recipe calls for 12 cups of flour and 13 cups of sugar. She already put in 2 cups of sugar. How many more cups of sugar does she need to add?,15,14,32,,
chal-359,Winter is almost here and most animals are migrating to warmer countries. There are 38 bird families living near the mountain. If 47 bird families flew away to africa and 94 bird families flew away to asia. How many more bird families flew away to asia than those that flew away to africa?,16,16,25,,
chal-360,Jake has 9 fewer peaches than Steven and 18 more peaches than Jill. Steven has 16 peaches. How many more peaches does Steven have than Jill?,21,21,15,,
chal-361,Zachary did 51 push-ups and David did 44 push-ups in gym class today. How many more push-ups did Zachary do than David?,19,24,26,,
chal-362,16 people can ride the Ferris wheel in paradise park at the same time. If the Ferris wheel has 4 seats. How many people can each seat hold?,20,13,26,,
chal-363,Mary is baking a cake. The recipe calls for 6 cups of flour 8 cups of sugar and 7 cups of salt. She already put in 5 cups of flour. How many more cups of sugar than cups of salt does she need to add now?,21,14,14,25,
chal-364,Paige raised 16 goldfish and 71 catfish in the pond but stray cats loved eating them. Now she has 2 left. How many goldfish disappeared?,17,32,17,,
chal-365,Rachel picked 7 ripe apples from her tree. Now the tree has 5 apples still on it. If 3 of those are ripe and the rest are unripe. How many unripe apples does the tree have now?,20,18,15,,
chal-366,Zachary did 44 push-ups in gym class today. David did 58 more push-ups than zachary. How many push-ups did Zachary and David do altogether?,23,20,,,
chal-367,If Lewis earns a total of $ 460 during 5 weeks of harvest. How much money does he earn each week?,20,16,10,,
chal-368,Because of the decision Sofia asked the students to suggest specific types of food. If 228 students suggested adding mashed potatoes 337 suggested adding bacon to the menu and 23 suggested adding tomatoes. How many more students suggested bacon than those that suggested tomatoes?,33,24,,,
chal-369,Edward spent $ 4 to buy books and $ 3 to buy pens. Now he has $ 12. How much did Edward spend on books and pens?,33,26,,,
chal-370,Edward spent $ 17. Then he received $ 10 from his friend. Now he has $ 7. How much did Edward have before he spent his money?,10,15,26,,
chal-371,"Julia played tag with 9 kids on monday, 7 kids on tuesday and 96 kids on wednesday. How many more kids did she play with on monday than on tuesday?",13,9,8,10,
chal-372,In a school there are 402 more girls than boys. If there are 739 girls. How many boys are there in that school?,13,16,28,,
chal-373,For Gwen's birthday she received 2 dollars from her mom. Her dad gave her 4 more dollars. If she spent 3 dollars. How much money did she still have?,17,23,26,,
chal-374,"6 red peaches, 90 yellow peaches and 16 green peaches are in the basket. How many red and green peaches are in the basket?",27,23,26,,
chal-375,Randy has 37 blocks. He uses 33 blocks to build a tower and 13 blocks to build a house. How many more blocks did he use to build the tower than he did to build the house?,18,18,30,,
chal-376,The Razorback shop makes $ 76 dollars off each jersey and $ 204 off each t-shirt. During the Arkansas and Texas tech game they sold 158 t-shirts and 2 jerseys. How much money did they make from selling the jerseys?,19,14,9,,
chal-377,Baker made 8 cakes. He bought 139 new cakes and sold 145 cakes. How many more cakes did baker sell than those he bought?,12,11,40,,
chal-378,Jack received 6 emails and 8 letters in the morning. He then received 2 emails and 7 letters in the afternoon. How many more letters did Jack receive in the morning than in the afternoon?,24,24,35,,
chal-379,Jake has 3 fewer peaches and 10 more apples than Steven. Steven has 12 peaches and 15 apples. How many more apples than peaches does Steven have?,12,22,11,22,
chal-380,Rachel had to complete 5 pages of math homework and 2 pages of reading homework. How many more pages of math homework than reading homework did she have?,15,15,18,,
chal-381,"Frank was reading through his favorite book. The book had 41 chapters, each with the same number of pages. It has a total of 450 pages. It took Frank 30 days to finish the book. How many pages did he read per day?",45,30,,,
chal-382,Jesse's room is 19 feet wide and 20 feet long. How much longer is her room than it is wide?,12,12,15,,
chal-383,Frank was reading through some books. Each book had 249 pages and it took Frank 3 days to finish each book. How many pages did he read per day?,13,21,25,,
chal-384,Paul got a box of 601 crayons and 406 erasers for his birthday. At the end of the school year he only had 336 crayons left while not having lost a single eraser. How many more erasers than crayons did he have left?,25,22,23,,
chal-385,The ring toss game at the carnival made 120 dollars in the first 20 days and 66 dollars in the remaining 16 days. How much did they make per day in the first 20 days at the carnival?,27,27,24,,
chal-386,Mary is baking a cake. The recipe calls for 5 cups of sugar and 14 cups of flour. She already put in 11 cups of flour. How many more cups of sugar than cups of flour does she need to add now?,20,26,18,,
chal-387,Emily is making bead necklaces for her 44 friends. She made 26 necklaces and each necklace takes 2 beads. How many beads did Emily have?,10,14,26,,
chal-388,Melissa scored a total of 21 points playing some games. Is she scored 7 points in each game. How many games did she play?,26,24,28,,
chal-389,Adam has 10 apples. Jackie has 2 apples. How many more apples does Adam have than Jackie?,12,12,25,,
chal-390,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day. How many days would the soda bottles last?,28,16,34,,
chal-391,Jerry had 5 action figures and 2 books on a shelf in his room. Later he added 9 more books to the shelf. How many more books than action figures were on his shelf?,24,22,27,,
chal-392,Robin's hair was 19 inches long. If he grew 18 more inches. How long is his hair now?,14,17,21,,
chal-393,Danny collects bottle caps and wrappers. He found 82 wrappers and 29 bottle caps at the park. Now he has 42 bottle caps and 61 wrappers in his collection. How many bottle caps did danny have at first?,12,10,25,33,
chal-394,If you had 4 bags with equal number of cookies and 36 cookies in total. How many cookies does each bag have?,22,22,8,,
chal-395,White t - shirts can be purchased in packages of 13. If mom buys 39 white t - shirts. How many packages will she have?,19,19,32,,
chal-396,In a school there are 706 girls and 222 boys. 418 more girls joined the school. How many pupils are there in the school now?,10,21,17,,
chal-397,For the walls of the house John would use large planks of wood. Each plank needs 2 pieces of nails to be secured and he would use 16 planks. How many nails does John need for the house wall?,8,15,,,
chal-398,At the arcade Dave had won 13 tickets. If he used 8 to buy some toys and 18 more to buy some clothes. How many more tickets did Dave use to buy clothes than he did to buy toys?,18,30,33,,
chal-399,Marco and his dad went strawberry picking. Together their strawberries weighed 35 pounds. Marco's strawberries weighed 13 pounds. How much more did his dad's strawberries weigh than his?,33,40,,,
chal-400,An industrial machine can make 3 shirts a minute. It made 4 shirts yesterday and 8 shirts today. How many minutes did the machine work in all?,28,24,19,,
chal-401,"19 red peaches, 11 yellow peaches and 12 green peaches are in the basket. How many more red peaches than yellow peaches are in the basket?",26,23,27,,
chal-402,For Gwen's birthday she received 8 dollars from her mom. Her dad gave her 5 more dollars. If she spent 4 dollars. How much more money did she receive from her mom than she did from her dad?,17,27,21,,
chal-403,The ring toss game at the carnival made the same amount of money each day. In total in 30 days they earned 420 dollars. Together with game they earned 22 dollars. How much did ring toss game make per day?,25,31,19,,
chal-404,Dave had 16 apps and 77 files on his phone. After deleting some apps and files he had 5 apps and 23 files left. How many apps did he delete?,15,15,22,,
chal-405,Paco had 39 sweet cookies and 6 salty cookies. He ate 23 salty cookies and 32 sweet cookies. How many more sweet cookies than salty cookies did he eat?,12,12,30,,
chal-406,Haley grew 13 trees in her backyard. After a typhoon 6 died. How many more trees survived the typhoon than those that died?,21,8,24,,
chal-407,Julia played tag with 18 kids on monday. She played tag with 10 kids on tuesday. How many more kids did she play with on monday than on tuesday?,18,19,,,
chal-408,Kelly has 46 nintendo games and 132 sony games. How many sony games does she need to give away so that she will have 31 sony games left?,27,27,7,,
chal-409,5 red peaches and 11 green peaches are in the basket. How many more green peaches than red peaches are in the basket?,20,46,,,
chal-410,Nell collects baseball cards. She gave 301 of her cards to Jeff and now has 154 cards left.. How many cards did Nell have initially?,15,13,35,,
chal-411,"Julia played tag with 15 kids on monday, 18 kids on tuesday and 97 kids on wednesday. How many kids did she play with on monday and tuesday?",33,14,29,,
chal-412,"Rachel had to complete 9 pages of math homework, 2 pages of reading homework and 96 more pages of biology homework. How many more pages of math homework than reading homework did she have?",15,15,59,,
chal-413,36 campers went rowing in the morning 13 campers went rowing in the afternoon and 49 campers went rowing in the evening. How many campers went rowing in all?,14,14,14,30,
chal-414,Josh had 4 marbles in his collection. He lost 16 marbles and found 8 new ones. How many more marbles did he lose than those he found?,16,20,30,,
chal-415,Danny collects bottle caps and wrappers. He found 11 bottle caps and 28 wrappers at the park. Now he has 68 bottle caps and 51 wrappers in his collection. How many more wrappers than bottle caps did danny find at the park?,27,23,23,,
chal-416,Dave had 59 files and 15 apps on his phone. After deleting some apps and files he had 12 apps and 30 files left. How many apps did he delete?,20,22,27,,
chal-417,Paul had 71 books. After selling some in a garage sale he bought 38 new ones. If he has 116 books now. How many more books did he buy than he sold?,25,6,28,,
chal-418,Allan brought 7 balloons and 5 balls while Jake brought 6 balloons and 4 balls to the park. How many balls did Allan and Jake have in the park?,23,23,22,,
chal-419,You have 104 dollars. How many packs of dvds can you buy if each pack costs 26 dollars?,21,20,,,
chal-420,Kelly has 20 nintendo games and 70 sony games. How many nintendo games does she need to give away so that she will have 12 nintendo games left?,14,29,22,,
chal-421,Julia played tag with 11 kids on monday. She played tag with 12 kids on tuesday. How many more kids did she play with on tuesday than on monday?,15,15,28,,
chal-422,Tiffany was collecting cans for recycling. On monday she had 8 bags of cans. The next day she found 7 more bags worth of cans. How many more bags did she have on monday than she found on the next day?,17,18,12,,
chal-423,There are 3941 skittles in Steven's skittles collection. Steven also has 4950 erasers. If the erasers are organized into 495 groups. How big is each group?,11,15,24,,
chal-424,Because of the decision Sofia asked the students to suggest specific types of food. 457 students suggested adding mashed potatoes while others suggested adding bacon to the menu. If 63 more students suggested adding mashed potatoes than those that suggested bacon. How many students suggested bacon?,31,34,,,
chal-425,The Razorback t-shirt shop sells each t-shirt for $ 51 dollars. During the Arkansas and Texas tech game they offered a discount of $ 8 per t-shirt and sold 130 t-shirts. How much money did they make from selling the t-shirts?,11,14,34,,
chal-426,5 storks and 3 birds were sitting on the fence. 4 more birds came to join them. How many more birds than storks are sitting on the fence?,15,22,25,,
chal-427,Matthew had 29 crackers and 30 cakes. If Matthew gave equal numbers of crackers and cakes to his 2 friends. How many cakes did each person eat?,32,23,,,
chal-428,There were 10 roses in the vase. Jessica cut 8 more roses from her flower garden and put them in the vase. How many roses are there in the vase now?,17,34,33,,
chal-429,Frank was reading through his favorite book. The book had 555 pages equally distributed over 5 chapters. It took Frank 220 days to finish the book. How many pages are in each chapter?,10,18,27,,
chal-430,Paco had 22 sweet cookies and 75 salty cookies. He ate 15 sweet cookies and 54 salty cookies. How many sweet cookies did Paco have left?,19,13,15,,
chal-431,Mary is baking a cake. The recipe calls for 9 cups of flour and 5 cups of sugar. She already put in 3 cups of flour and 62 cups of sugar. How many more cups of flour does she need to add?,16,16,16,33,
chal-432,Each pack of dvds costs 107 dollars. If there is a discount of 106 dollars on each pack. How many packs of dvds can you buy with 93 dollars?,21,31,,,
chal-433,There are 8 different books and 10 different movies in the ' crazy silly school ' series. If you read 19 of the books and watched 61 of the movies. How many more movies than books are there in the ' crazy silly school ' series?,12,12,18,,
chal-434,Bobby ate 33 pieces of candy. Then he ate 4 more. He also ate 14 pieces of chocolate. How many pieces of candy and chocolate did Bobby eat altogether?,16,16,26,,
chal-435,Bryan took a look at his books as well. He has 7 bookshelves with each having the same number of books. If he has a total of 28 books. How many books are there in each bookshelf?,12,23,,,
chal-436,Melissa scored 12 points in each game. If she scored a total of 36 points. How many games did she play?,17,29,,,
chal-437,Rachel had to complete 8 pages of math homework. If she had to complete 6 more pages of reading homework than math homework. How many pages of reading homework did she have to complete?,15,47,20,,
